"product_id","product_name","product_type","product_fire_coverage","product_legal_defense_coverage","product_liability_coverage","product_passangers_coverage","product_damage_coverage","product_theft_coverage","product_windshield_coverage"
"24f096d19c7120f7086e51266877d67f",Hybrid,CarIn,Y,Y,Y,Y,N,N,Y
"2ee90008545b355e0699389137e4ec6e",Hybrid,CarIn,N,Y,Y,Y,Y,Y,Y
"7e7d649964fcca2a6028458605455b95",Telematics,CarIn,N,N,N,N,N,N,N
cb827235a0cb20ae653207e9a9152e62,Telematics,CarIn New,N,N,Y,Y,N,N,N
"8d57b9ab34eb63911f907a4fce6da224",Telematics,CarIn New,N,Y,Y,N,N,N,N
"70de10d128c67576a6624d80d0ef7d58",Telematics,CarIn New,N,Y,Y,Y,N,N,N
c0b8d1ba9bd95dfd94182441cb2c1087,Telematics,CarIn New,Y,Y,Y,Y,N,N,N
fe22db69cdd179a45ad2a7afed0cdeb7,Telematics,CarIn,N,N,N,N,N,N,N
f6e9cd04023c0be5f3df0bc54fce3729,Telematics,CarIn,N,Y,Y,Y,N,N,Y
e7ff2c51e5c3aa5bc17299792ba41e13,Telematics,CarIn New,N,Y,Y,N,N,N,Y
d002971a9349867688add0311a7009b2,Telematics,CarIn New,N,Y,Y,Y,N,N,Y
f5a7a73c368ac63cc00a24dca385bf6f,Telematics,CarIn New,N,N,N,N,N,N,N
efdebff6512bb3b4de7133eaafddd03e,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"63b32b961c74ad1cd57d83fa61fadfe7",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"67ab44583a0d64daaf2764970a33141c",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"32fb0ec4717ff11b0c5617b11f43cb58",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"7d7647543c2decda5d4ff932474d7b70",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"09742caa011e13bb216e0801c971a1f2",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
cfa5ff20f9809a133c1f8cba597d0ff4,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"4b6cce6dcd1c08c32328c2cf91f88cd8",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"2e4d9e03cf319307eec919845c7c6a5a",Telematics,CarIn New,N,N,N,N,N,N,N
"2631e9a9ab627ca2eff04e0450ff7b86",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"7efe29c6816b6101bdfd71a800fef6e2",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"7d5b78a0e990ccb69742f77304ec2b07",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"514cdd7b8d74c3644165c1250d293c0d",Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"48958752c06b20560c7cf2f05a28421d",Telematics,CarIn,Y,Y,Y,Y,Y,Y,Y
f4af64a2e76ea142554dd3d4ed9fd6f2,Telematics,CarIn Employee,Y,Y,Y,Y,Y,Y,Y
a78254b31f60ba7d81e84e47d1f64932,Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,N
"637cb5333b480f0c0f399de63b30d2f8",Telematics Employee,CarIn Employee,N,Y,Y,Y,Y,Y,Y
a7b3d317c9da7dd6ab63794476028e77,Hybrid,CarIn New,N,Y,Y,Y,Y,Y,Y
dd89e2c11003fa84a4f39678610d0cb9,Telematics,CarIn,N,Y,Y,Y,N,Y,Y
be7050b2a5a7f9b14b3956aa49ff587d,Telematics,CarIn,Y,Y,Y,Y,N,N,Y
"81cc4983c32386267d93611653c7cf8e",Telematics,CarIn,Y,Y,Y,Y,N,Y,Y
ffd553b97e978c87a950f5f27d3d8871,Telematics,CarIn New,Y,Y,Y,Y,N,N,Y
"2e0af2357d0f45257df24720321af971",Telematics,CarIn New,Y,Y,Y,Y,N,Y,Y
"18f2dfbb200c2c6996e28d86540d8859",Telematics,CarIn New,N,N,N,N,N,N,N
ac74c8d0145c07b488c9d713f122b152,Telematics,CarIn,N,Y,Y,Y,Y,Y,N
"5071772a02e72ed6a877cd2ecfec81e2",Telematics,CarIn Employee,N,Y,Y,Y,Y,Y,N
"60b71207e96419a4f9c3626f9f06fb78",Telematics,CarIn New,N,N,N,N,N,N,N
d71a1dce7173aaf1271215627a15f355,Telematics,CarIn,N,N,N,N,N,N,N
c5d0efa4cd169477d2aab3ff25f956fe,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
b54a2af172c378bbbb4c223e6970df33,Telematics,CarIn,N,Y,Y,Y,Y,Y,Y
"31468e53dcc894070f832ca8094aabc1",Telematics,CarIn Employee,N,Y,Y,Y,Y,Y,Y
"8bc549145884f1872eed00130a4e4388",Telematics,CarIn New,N,N,N,N,N,N,N
cbc77fdd91452db8e676a110eef15a94,Telematics,CarIn New,N,N,N,N,N,N,N
"43e5ccee65c5744d92a77630558d2f2b",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
ac59021c2c64811dc532752bf5ee5945,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
e8a4acd202f47fa0cffbb35b17478f64,Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
"40c5d6744081e6022e8404582e2c107e",Telematics,CarIn New,N,Y,Y,Y,Y,Y,Y
e9824eb1039c217e42341f2141c2f2ea,Telematics,CarIn,Y,Y,Y,Y,Y,Y,Y
"14ba6ebdfa44f7da6e835c1915d074ef",Telematics,CarIn,Y,Y,Y,Y,Y,N,Y
"761075791f89357c93f3cd865fe5a109",Telematics,CarIn Employee,Y,Y,Y,Y,Y,Y,Y
baa0ed85c7539f8d9f808f21550dbef2,Telematics,CarIn New,N,N,N,N,N,N,N
f7eb4b687a197083f4e91b14080663c0,Telematics,CarIn New,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
ccdc6ab3bcd6fc0b04728061d4442d64,Telematics Employee,CarIn Employee,N,N,N,N,N,N,N
